club_id,name,domestic_competition_id,stadium_name,net_transfer_record,last_season
1210,US Livorno 1915,IT1,Armando Picchi,+-0,2013
1533,SD Eibar,ES1,Ipurua,+€2.60m,2020
180,Southampton FC,GB1,St Mary's Stadium,+€2.40m,2022
2375,Altay SK,TR1,Alsancak Mustafa Denizli Stadı,+€1.42m,2021
2448,Sporting Gijón,ES1,El Molinón - Enrique Castro Quini,+€5.23m,2016
3205,Kayserispor,TR1,RHG Enertürk Enerji Stadyumu,+-0,2023
368,Sevilla FC,ES1,Ramón Sánchez-Pizjuán,€-20.00m,2023
38,Fortuna Düsseldorf,L1,MERKUR SPIEL-ARENA,+€600k,2019
415,FC Toulouse,FR1,Stadium Municipal,€-6.00m,2023
416,Torino FC,IT1,Stadio Olimpico Grande Torino,€-36.65m,2023
417,OGC Nice,FR1,Allianz Riviera,€-24.10m,2023
44,Hertha BSC,L1,Olympiastadion Berlin,+€6.70m,2022
631,Chelsea FC,GB1,Stamford Bridge,€-68.10m,2023
749,FC Empoli,IT1,Carlo Castellani,+€44.30m,2023
833,Denizlispor,TR1,Denizli Atatürk Stadı,+-0,2020
10,Arminia Bielefeld,L1,SchücoArena,+€5.90m,2021
10484,Kasimpasa,TR1,Recep Tayyip Erdoğan Stadyumu,€-1.00m,2023
1049,Valencia CF,ES1,Mestalla,+€10.40m,2023
2292,Elazigspor,TR1,Elazığ Doğukent Stadı,+€17k,2013
27,Bayern Munich,L1,Allianz Arena,€-47.25m,2023
29,Everton FC,GB1,Goodison Park,+€23.50m,2023
290,AJ Auxerre,FR1,Stade de l'Abbé-Deschamps,+-0,2022
347,FC Metz,FR1,Stade Saint-Symphorien,+€9.30m,2023
399,Leeds United,GB1,Elland Road,+€930k,2022
4083,FC Crotone,IT1,Ezio Scida,+€3.90m,2020
533,TSG 1899 Hoffenheim,L1,PreZero Arena,+€12.20m,2023
607,Venezia FC,IT1,Pier Luigi Penzo,+€4.83m,2021
800,Atalanta BC,IT1,Gewiss Stadium,+€67.50m,2023
984,West Bromwich Albion,GB1,The Hawthorns,€-1.35m,2020
