game_id,competition_id,season,round,date,home_club_id,away_club_id,home_club_goals,away_club_goals,home_club_position,away_club_position,home_club_manager_name,away_club_manager_name,stadium,attendance,referee,url,home_club_name,away_club_name,aggregate,competition_type
3840222,FR1,2022,27. Matchday,2023-03-12,1420,415,0,2,20.0,11.0,Alexandre Dujeux,Philippe Montanier,Stade Raymond Kopa,6487.0,Pierre Gaillouste,https://www.transfermarkt.co.uk/angers-sco_fc-toulouse/index/spielbericht/3840222,Angers SCO,FC Toulouse,0:2,domestic_league
3844089,ES1,2022,1. Matchday,2022-08-13,131,367,0,0,12.0,10.0,Xavi,Andoni Iraola,Spotify Camp Nou,81104.0,Alejandro Hernández Hernández,https://www.transfermarkt.co.uk/fc-barcelona_rayo-vallecano/index/spielbericht/3844089,FC Barcelona,Rayo Vallecano,0:0,domestic_league
3845089,IT1,2022,36. Matchday,2023-05-21,1005,3522,0,0,16.0,17.0,Marco Baroni,Leonardo Semplici,Ettore Giardiniero,26022.0,Maurizio Mariani,https://www.transfermarkt.co.uk/us-lecce_spezia-calcio/index/spielbericht/3845089,US Lecce,Spezia Calcio,0:0,domestic_league
3860289,TR1,2022,15. Matchday,2022-12-23,589,868,0,2,11.0,12.0,Nuri Sahin,Ömer Erdogan,Corendon Airlines Park Antalya Stadı,4663.0,Ali Sansalan,https://www.transfermarkt.co.uk/antalyaspor_mke-ankaragucu/index/spielbericht/3860289,Antalyaspor,MKE Ankaragücü,0:2,domestic_league
3860339,TR1,2022,13. Matchday,2022-11-04,10484,868,1,1,11.0,15.0,Senol Can,Ömer Erdogan,Recep Tayyip Erdoğan Stadyumu,2222.0,Ümit Öztürk,https://www.transfermarkt.co.uk/kasimpasa_mke-ankaragucu/index/spielbericht/3860339,Kasimpasa,MKE Ankaragücü,1:1,domestic_league
3860359,TR1,2022,19. Matchday,2023-01-14,2293,114,1,2,7.0,4.0,Ilhan Palut,Senol Günes,Medaş Konya Büyükşehir Stadyumu,21757.0,Abdulkadir Bitigen,https://www.transfermarkt.co.uk/konyaspor_besiktas-jk/index/spielbericht/3860359,Konyaspor,Besiktas JK,1:2,domestic_league
3860498,TR1,2022,27. Matchday,2023-04-02,36,114,2,4,2.0,3.0,João de Deus,Senol Günes,Ülker Stadyumu FB Şükrü Saraçoğlu Spor Kompleksi,43899.0,Halil Umut Meler,https://www.transfermarkt.co.uk/fenerbahce_besiktas-jk/index/spielbericht/3860498,Fenerbahce,Besiktas JK,2:4,domestic_league
3886320,ES1,2022,9. Matchday,2022-10-16,940,681,1,2,11.0,5.0,Eduardo Coudet,Imanol Alguacil,Abanca Balaídos,13101.0,Guillermo Cuadra Fernández,https://www.transfermarkt.co.uk/celta-de-vigo_real-sociedad/index/spielbericht/3886320,Celta de Vigo,Real Sociedad,1:2,domestic_league
3886499,ES1,2022,17. Matchday,2023-01-14,366,367,0,1,17.0,9.0,Pacheta,Andoni Iraola,Nuevo José Zorrilla,19969.0,Mario Melero López,https://www.transfermarkt.co.uk/real-valladolid-cf_rayo-vallecano/index/spielbericht/3886499,Real Valladolid CF,Rayo Vallecano,0:1,domestic_league
3886571,ES1,2022,24. Matchday,2023-03-05,150,418,0,0,5.0,2.0,Manuel Pellegrini,Carlo Ancelotti,Benito Villamarín,52212.0,César Soto Grado,https://www.transfermarkt.co.uk/real-betis-balompie_real-madrid/index/spielbericht/3886571,Real Betis Balompié,Real Madrid,0:0,domestic_league
3886581,ES1,2022,25. Matchday,2023-03-11,940,367,3,0,11.0,7.0,Carlos Carvalhal,Andoni Iraola,Abanca Balaídos,14451.0,Juan Luis Pulido Santana,https://www.transfermarkt.co.uk/celta-de-vigo_rayo-vallecano/index/spielbericht/3886581,Celta de Vigo,Rayo Vallecano,3:0,domestic_league
3886607,ES1,2022,27. Matchday,2023-04-02,1050,681,2,0,6.0,4.0,Quique Setién,Imanol Alguacil,La Cerámica,18768.0,Jesús Gil Manzano,https://www.transfermarkt.co.uk/villarreal-cf_real-sociedad/index/spielbericht/3886607,Villarreal CF,Real Sociedad,2:0,domestic_league
3886649,ES1,2022,31. Matchday,2023-04-26,3709,3302,1,2,18.0,16.0,Quique Sánchez Flores,Rubi,Coliseum Alfonso Pérez,10260.0,Javier Alberola Rojas,https://www.transfermarkt.co.uk/getafe-cf_ud-almeria/index/spielbericht/3886649,Getafe CF,UD Almería,1:2,domestic_league
3886701,ES1,2022,37. Matchday,2023-05-28,13,681,2,1,3.0,4.0,Diego Simeone,Imanol Alguacil,Civitas Metropolitano,56169.0,Juan Luis Pulido Santana,https://www.transfermarkt.co.uk/atletico-de-madrid_real-sociedad/index/spielbericht/3886701,Atlético de Madrid,Real Sociedad,2:1,domestic_league
3913699,CL,2022,Group G,2022-10-11,16,368,1,1,,,Edin Terzic,Jorge Sampaoli,SIGNAL IDUNA PARK,81000.0,Srdjan Jovanovic,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/3913699,Borussia Dortmund,Sevilla FC,1:1,international_cup
4072487,TR1,2022,34. Matchday,2023-05-16,11688,7775,3,0,16.0,19.0,,,Çotanak Spor Kompleksi,,,https://www.transfermarkt.co.uk/giresunspor_hatayspor/index/spielbericht/4072487,Giresunspor,Hatayspor,3:0,domestic_league
3837830,GB1,2022,2. Matchday,2022-08-13,1237,762,0,0,8.0,5.0,Graham Potter,Eddie Howe,AMEX Stadium,31552.0,Graham Scott,https://www.transfermarkt.co.uk/brighton-amp-hove-albion_newcastle-united/index/spielbericht/3837830,Brighton & Hove Albion,Newcastle United,0:0,domestic_league
3837974,GB1,2022,6. Matchday,2022-09-04,1237,1003,5,2,4.0,20.0,Graham Potter,Brendan Rodgers,AMEX Stadium,31185.0,Tony Harrington,https://www.transfermarkt.co.uk/brighton-amp-hove-albion_leicester-city/index/spielbericht/3837974,Brighton & Hove Albion,Leicester City,5:2,domestic_league
